ID;Perioden;PrijsindexBestaandeKoopwoningen_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3;AantalVerkochteWoningen_4;OntwikkelingTOVVoorgaandePeriode_5;OntwikkelingTOVEenJaarEerder_6;GemiddeldeVerkoopprijs_7;TotaleWaardeVerkoopprijzen_8;Year;Month
78;1999-09-01;70.6;1.2;17.7;16360;-12.8;8.8;151863;2484;1999;09
80;1999-10-01;72.1;2.0;19.0;16691;2.0;1.6;154989;2587;1999;10
81;1999-11-01;72.7;0.9;19.0;17482;4.7;8.0;155171;2713;1999;11
82;1999-12-01;73.1;0.5;19.4;22356;27.9;-4.1;155389;3474;1999;12
85;2000-01-01;74.9;2.5;19.7;10794;-51.7;0.4;157270;1698;2000;01
86;2000-02-01;76.0;1.5;20.1;13563;25.7;-2.5;158416;2149;2000;02
87;2000-03-01;77.0;1.3;19.8;15286;12.7;-12.9;161686;2472;2000;03
89;2000-04-01;77.8;1.1;19.4;13875;-9.2;-19.4;164483;2282;2000;04
90;2000-05-01;78.8;1.4;19.2;18593;34.0;17.1;168035;3124;2000;05
91;2000-06-01;80.1;1.6;19.5;14630;-21.3;-14.6;169998;2487;2000;06
93;2000-07-01;81.3;1.5;18.9;17197;17.5;-15.9;174945;3009;2000;07
94;2000-08-01;82.2;1.2;17.8;16264;-5.4;-13.3;177859;2893;2000;08
95;2000-09-01;83.3;1.3;17.9;15333;-5.7;-6.3;179940;2759;2000;09
97;2000-10-01;83.8;0.7;16.3;15792;3.0;-5.4;180317;2848;2000;10
98;2000-11-01;84.2;0.5;15.8;15121;-4.2;-13.5;176972;2676;2000;11
99;2000-12-01;84.4;0.2;15.5;22910;51.5;2.5;182625;4184;2000;12
102;2001-01-01;85.0;0.7;13.4;10341;-54.9;-4.2;177558;1836;2001;01
103;2001-02-01;86.7;2.1;14.1;12427;20.2;-8.4;182471;2268;2001;02
104;2001-03-01;86.8;0.1;12.8;14961;20.4;-2.1;180494;2700;2001;03
106;2001-04-01;88.1;1.4;13.2;14634;-2.2;5.5;185999;2722;2001;04
107;2001-05-01;88.4;0.3;12.1;17049;16.5;-8.3;186441;3179;2001;05
108;2001-06-01;89.0;0.7;11.1;16508;-3.2;12.8;187336;3093;2001;06
