GemiddeldeWOZWaardeVanWoningen_98;Gemeentenaam;Bevolkingsdichtheid_57;AfstandTotHuisartsenpraktijk_209;AfstandTotKinderdagverblijf_214;AfstandTotBibliotheek_226;AfstandTotOpritHoofdverkeersweg_232;AfstandTotTreinstation_233
319.0;212;103.0;2.3;1.4;2.5;1.9;4.1
261.0;213;269.0;1.5;0.7;2.1;1.0;4.6
306.0;214;791.0;1.1;0.6;1.7;2.0;9.6
263.0;215;115.0;1.4;1.1;2.8;1.5;22.2
411.0;216;834.0;1.0;0.6;3.1;1.4;5.8
321.0;217;291.0;1.2;1.0;1.8;1.2;5.4
287.0;218;133.0;1.4;1.0;3.1;1.9;16.9
296.0;219;576.0;1.2;0.7;2.3;2.1;2.8
271.0;220;289.0;1.4;1.1;1.8;1.2;4.3
507.0;221;593.0;1.0;0.7;0.9;1.4;3.3
369.0;222;261.0;1.2;0.9;1.9;1.3;9.8
327.0;223;443.0;1.0;0.8;1.8;1.3;2.8
276.0;224;3421.0;0.9;0.5;1.6;1.6;4.1
299.0;225;278.0;1.5;0.8;1.6;1.0;9.4
167.0;226;249.0;1.2;1.1;2.7;1.3;6.4
403.0;227;1534.0;0.9;0.7;1.6;1.9;4.6
329.0;228;985.0;0.9;0.6;2.3;1.7;2.4
412.0;229;289.0;1.7;1.0;2.1;0.9;2.9
317.0;230;223.0;1.6;1.1;2.6;1.3;3.2
235.0;231;225.0;1.2;0.6;4.1;1.1;3.1
338.0;232;682.0;1.0;0.6;1.3;1.2;3.7
403.0;233;307.0;1.2;1.1;1.2;0.7;4.6
377.0;234;171.0;1.4;1.1;2.3;1.2;23.9
280.0;235;531.0;1.3;0.6;1.1;0.9;1.5
358.0;236;482.0;1.2;0.8;1.2;0.6;2.7
286.0;237;2006.0;1.0;0.5;1.4;2.2;5.8
314.0;238;406.0;1.4;0.8;1.6;1.4;1.7
302.0;239;4078.0;0.8;0.5;1.5;1.9;2.0
261.0;240;233.0;0.9;0.8;7.0;1.5;7.8
244.0;241;976.0;1.0;0.7;3.0;2.0;2.1
440.0;242;451.0;1.2;0.9;1.5;1.7;9.2
259.0;243;725.0;0.9;0.6;2.5;1.6;3.3
275.0;244;3001.0;0.7;0.4;1.4;2.2;3.7
612.0;245;63.0;1.2;0.7;1.9;0.4;2.3
314.0;246;362.0;1.3;0.9;2.6;1.9;6.5
311.0;247;279.0;1.1;0.9;1.8;1.3;5.6
347.0;248;748.0;1.0;0.7;1.1;0.9;8.3
248.0;249;4472.0;0.8;0.4;0.9;1.6;2.7
331.0;250;22.0;0.4;0.4;0.6;15.5;39.1
303.0;251;149.0;1.9;1.0;3.8;1.1;27.3
212.0;252;650.0;0.9;0.9;0.9;1.5;7.7
;Sint Anthonis;;;;;;
393.0;253;510.0;1.4;0.6;2.2;1.8;6.2
218.0;254;1167.0;0.8;0.6;1.9;2.0;2.6
255.0;255;2016.0;1.0;0.6;1.5;1.7;1.7
268.0;256;83.0;2.3;1.3;4.9;1.4;48.5
234.0;257;477.0;1.1;0.7;3.0;2.3;18.5
386.0;258;1019.0;0.8;0.6;1.8;1.7;2.2
353.0;259;246.0;1.5;0.7;2.3;2.1;10.5
401.0;260;685.0;1.4;0.7;2.0;2.9;8.7
207.0;261;271.0;1.7;1.0;1.9;1.3;17.5
317.0;262;129.0;1.9;1.2;1.9;1.9;8.1
294.0;263;1515.0;1.0;0.8;1.5;1.1;1.4
286.0;264;166.0;1.4;0.9;3.7;2.8;13.0
270.0;265;155.0;1.9;1.0;2.1;1.4;7.5
244.0;266;1185.0;0.8;0.7;2.0;1.4;3.5
392.0;267;679.0;1.3;0.8;1.9;1.7;3.4
251.0;268;173.0;2.0;1.0;3.2;2.1;5.0
208.0;269;218.0;1.5;0.9;1.9;2.0;32.7
392.0;270;57.0;1.4;1.4;3.8;37.7;36.3
328.0;271;84.0;2.8;1.2;3.8;3.4;16.0
404.0;272;1340.0;0.7;0.6;1.2;1.1;1.8
228.0;273;180.0;1.7;0.8;2.1;1.1;16.3
263.0;274;1289.0;1.7;0.7;2.5;1.9;1.8
269.0;275;1783.0;0.8;0.6;2.0;3.0;2.7
359.0;276;145.0;2.0;1.0;4.0;1.2;10.8
278.0;277;318.0;1.0;0.9;1.3;1.3;2.9
341.0;278;240.0;1.6;1.1;2.1;2.5;8.9
249.0;279;217.0;1.7;0.8;3.4;1.7;5.4
;Uden;;;;;;
363.0;280;708.0;0.9;0.7;4.1;1.1;2.1
365.0;281;1712.0;1.5;0.7;2.5;1.6;11.7
293.0;282;1634.0;0.7;0.9;1.6;1.3;23.5
392.0;283;3857.0;0.7;0.5;1.3;2.2;2.0
427.0;284;379.0;1.1;0.8;1.3;1.1;4.5
189.0;285;424.0;1.5;0.9;1.6;0.7;14.6
274.0;286;440.0;1.3;1.1;1.5;0.9;1.6
327.0;287;569.0;1.0;0.6;2.2;2.2;11.3
180.0;288;362.0;1.2;0.7;2.2;1.9;3.1
302.0;289;3484.0;1.0;0.7;1.9;1.6;1.7
340.0;290;164.0;1.4;0.8;9.3;1.4;9.7
375.0;291;1446.0;0.9;0.6;2.4;2.5;6.7
345.0;292;1521.0;0.7;0.5;1.7;1.5;3.1
241.0;293;823.0;1.0;0.6;1.7;1.5;2.6
276.0;294;269.0;1.7;0.9;3.1;1.6;3.8
331.0;295;402.0;1.2;0.8;1.9;1.8;7.1
243.0;296;3174.0;0.8;0.5;1.4;1.6;6.1
