"ID";"RegioS";"Perioden";"GemiddeldeWOZWaardeVanWoningen_98"
"1901";"GM0360";"2011JJ00";""
"1902";"GM0360";"2012JJ00";""
"1903";"GM0360";"2013JJ00";""
"1904";"GM0360";"2014JJ00";""
"1905";"GM0360";"2015JJ00";""
"1906";"GM0360";"2016JJ00";""
"1907";"GM0360";"2017JJ00";""
"1908";"GM0360";"2018JJ00";""
"1909";"GM0360";"2019JJ00";""
"1910";"GM0360";"2020JJ00";""
"1911";"GM0360";"2021JJ00";""
"1912";"GM0360";"2022JJ00";""
"1913";"GM0360";"2023JJ00";""
"1914";"GM0482";"1995JJ00";"       ."
"1915";"GM0482";"1996JJ00";"       ."
"1916";"GM0482";"1997JJ00";"      70"
"1917";"GM0482";"1998JJ00";"      71"
"1918";"GM0482";"1999JJ00";"      72"
"1919";"GM0482";"2000JJ00";"      72"
"1920";"GM0482";"2001JJ00";"     117"
"1921";"GM0482";"2002JJ00";"     118"
"1922";"GM0482";"2003JJ00";"     119"
"1923";"GM0482";"2004JJ00";"     120"
"1924";"GM0482";"2005JJ00";"     179"
"1925";"GM0482";"2006JJ00";"     184"
"1926";"GM0482";"2007JJ00";"     201"
"1927";"GM0482";"2008JJ00";"     217"
"1928";"GM0482";"2009JJ00";"     225"
"1929";"GM0482";"2010JJ00";"     222"
"1930";"GM0482";"2011JJ00";"     219"
"1931";"GM0482";"2012JJ00";"     215"
"1932";"GM0482";"2013JJ00";"     205"
"1933";"GM0482";"2014JJ00";"     194"
"1934";"GM0482";"2015JJ00";"     190"
"1935";"GM0482";"2016JJ00";"     194"
"1936";"GM0482";"2017JJ00";"     198"
"1937";"GM0482";"2018JJ00";"     204"
"1938";"GM0482";"2019JJ00";"     217"
"1939";"GM0482";"2020JJ00";"     234"
"1940";"GM0482";"2021JJ00";"     252"
"1941";"GM0482";"2022JJ00";"     274"
"1942";"GM0482";"2023JJ00";"     325"
"1943";"GM0613";"1995JJ00";"       ."
"1944";"GM0613";"1996JJ00";"       ."
"1945";"GM0613";"1997JJ00";"      98"
"1946";"GM0613";"1998JJ00";"      96"
"1947";"GM0613";"1999JJ00";"      97"
"1948";"GM0613";"2000JJ00";"      96"
"1949";"GM0613";"2001JJ00";"     154"
"1950";"GM0613";"2002JJ00";"     153"
"1951";"GM0613";"2003JJ00";"     157"
"1952";"GM0613";"2004JJ00";"     157"
"1953";"GM0613";"2005JJ00";"     241"
"1954";"GM0613";"2006JJ00";"     241"
"1955";"GM0613";"2007JJ00";"     261"
"1956";"GM0613";"2008JJ00";"     275"
"1957";"GM0613";"2009JJ00";"     284"
"1958";"GM0613";"2010JJ00";"     287"
"1959";"GM0613";"2011JJ00";"     280"
"1960";"GM0613";"2012JJ00";"     277"
"1961";"GM0613";"2013JJ00";"     266"
"1962";"GM0613";"2014JJ00";"     254"
"1963";"GM0613";"2015JJ00";"     246"
"1964";"GM0613";"2016JJ00";"     248"
"1965";"GM0613";"2017JJ00";"     254"
"1966";"GM0613";"2018JJ00";"     266"
"1967";"GM0613";"2019JJ00";"     286"
"1968";"GM0613";"2020JJ00";"     311"
"1969";"GM0613";"2021JJ00";"     332"
"1970";"GM0613";"2022JJ00";"     365"
"1971";"GM0613";"2023JJ00";"     431"
"1972";"GM0483";"1995JJ00";"       ."
"1973";"GM0483";"1996JJ00";"       ."
"1974";"GM0483";"1997JJ00";"     110"
"1975";"GM0483";"1998JJ00";"     108"
"1976";"GM0483";"1999JJ00";"     110"
"1977";"GM0483";"2000JJ00";"     110"
"1978";"GM0483";"2001JJ00";"     179"
"1979";"GM0483";"2002JJ00";"     180"
"1980";"GM0483";"2003JJ00";"     181"
"1981";"GM0483";"2004JJ00";"     181"
"1982";"GM0483";"2005JJ00";"     264"
"1983";"GM0483";"2006JJ00";"     264"
"1984";"GM0483";"2007JJ00";"     283"
"1985";"GM0483";"2008JJ00";"     284"
"1986";"GM0483";"2009JJ00";""
"1987";"GM0483";"2010JJ00";""
"1988";"GM0483";"2011JJ00";""
"1989";"GM0483";"2012JJ00";""
"1990";"GM0483";"2013JJ00";""
"1991";"GM0483";"2014JJ00";""
"1992";"GM0483";"2015JJ00";""
"1993";"GM0483";"2016JJ00";""
"1994";"GM0483";"2017JJ00";""
"1995";"GM0483";"2018JJ00";""
"1996";"GM0483";"2019JJ00";""
"1997";"GM0483";"2020JJ00";""
"1998";"GM0483";"2021JJ00";""
"1999";"GM0483";"2022JJ00";""
"2000";"GM0483";"2023JJ00";""
"2001";"GM0361";"1995JJ00";"       ."
"2002";"GM0361";"1996JJ00";"       ."
"2003";"GM0361";"1997JJ00";"      64"
"2004";"GM0361";"1998JJ00";"      65"
"2005";"GM0361";"1999JJ00";"      65"
"2006";"GM0361";"2000JJ00";"      65"
"2007";"GM0361";"2001JJ00";"     114"
"2008";"GM0361";"2002JJ00";"     114"
"2009";"GM0361";"2003JJ00";"     116"
"2010";"GM0361";"2004JJ00";"     117"
"2011";"GM0361";"2005JJ00";"     178"
"2012";"GM0361";"2006JJ00";"     178"
"2013";"GM0361";"2007JJ00";"     184"
"2014";"GM0361";"2008JJ00";"     196"
"2015";"GM0361";"2009JJ00";"     205"
"2016";"GM0361";"2010JJ00";"     209"
"2017";"GM0361";"2011JJ00";"     205"
"2018";"GM0361";"2012JJ00";"     204"
"2019";"GM0361";"2013JJ00";"     193"
"2020";"GM0361";"2014JJ00";"     181"
"2021";"GM0361";"2015JJ00";"     181"
"2022";"GM0361";"2016JJ00";"     182"
"2023";"GM0361";"2017JJ00";"     188"
"2024";"GM0361";"2018JJ00";"     202"
"2025";"GM0361";"2019JJ00";"     221"
"2026";"GM0361";"2020JJ00";"     243"
"2027";"GM0361";"2021JJ00";"     261"
"2028";"GM0361";"2022JJ00";"     287"
"2029";"GM0361";"2023JJ00";"     342"
"2030";"GM0141";"1995JJ00";"       ."
"2031";"GM0141";"1996JJ00";"       ."
"2032";"GM0141";"1997JJ00";"      53"
"2033";"GM0141";"1998JJ00";"      54"
"2034";"GM0141";"1999JJ00";"      55"
"2035";"GM0141";"2000JJ00";"      55"
"2036";"GM0141";"2001JJ00";"      95"
"2037";"GM0141";"2002JJ00";"      95"
"2038";"GM0141";"2003JJ00";"      97"
"2039";"GM0141";"2004JJ00";"      97"
"2040";"GM0141";"2005JJ00";"     147"
"2041";"GM0141";"2006JJ00";"     149"
"2042";"GM0141";"2007JJ00";"     160"
"2043";"GM0141";"2008JJ00";"     175"
"2044";"GM0141";"2009JJ00";"     180"
"2045";"GM0141";"2010JJ00";"     178"
"2046";"GM0141";"2011JJ00";"     177"
"2047";"GM0141";"2012JJ00";"     172"
"2048";"GM0141";"2013JJ00";"     164"
"2049";"GM0141";"2014JJ00";"     154"
"2050";"GM0141";"2015JJ00";"     150"
"2051";"GM0141";"2016JJ00";"     152"
"2052";"GM0141";"2017JJ00";"     153"
"2053";"GM0141";"2018JJ00";"     160"
"2054";"GM0141";"2019JJ00";"     170"
"2055";"GM0141";"2020JJ00";"     184"
"2056";"GM0141";"2021JJ00";"     198"
"2057";"GM0141";"2022JJ00";"     225"
"2058";"GM0141";"2023JJ00";"     272"
"2059";"GM0034";"1995JJ00";"       ."
"2060";"GM0034";"1996JJ00";"       ."
"2061";"GM0034";"1997JJ00";"      80"
"2062";"GM0034";"1998JJ00";"      81"
"2063";"GM0034";"1999JJ00";"      82"
"2064";"GM0034";"2000JJ00";"      82"
"2065";"GM0034";"2001JJ00";"     118"
"2066";"GM0034";"2002JJ00";"     121"
"2067";"GM0034";"2003JJ00";"     121"
"2068";"GM0034";"2004JJ00";"     122"
"2069";"GM0034";"2005JJ00";"     182"
"2070";"GM0034";"2006JJ00";"     180"
"2071";"GM0034";"2007JJ00";"     189"
"2072";"GM0034";"2008JJ00";"     194"
"2073";"GM0034";"2009JJ00";"     198"
"2074";"GM0034";"2010JJ00";"     199"
"2075";"GM0034";"2011JJ00";"     199"
"2076";"GM0034";"2012JJ00";"     195"
"2077";"GM0034";"2013JJ00";"     191"
"2078";"GM0034";"2014JJ00";"     183"
"2079";"GM0034";"2015JJ00";"     180"
"2080";"GM0034";"2016JJ00";"     181"
"2081";"GM0034";"2017JJ00";"     187"
"2082";"GM0034";"2018JJ00";"     198"
"2083";"GM0034";"2019JJ00";"     222"
"2084";"GM0034";"2020JJ00";"     251"
"2085";"GM0034";"2021JJ00";"     276"
"2086";"GM0034";"2022JJ00";"     310"
"2087";"GM0034";"2023JJ00";"     363"
"2088";"GM0484";"1995JJ00";"       ."
"2089";"GM0484";"1996JJ00";"       ."
"2090";"GM0484";"1997JJ00";"      78"
"2091";"GM0484";"1998JJ00";"      79"
"2092";"GM0484";"1999JJ00";"      79"
"2093";"GM0484";"2000JJ00";"      80"
"2094";"GM0484";"2001JJ00";"     134"
"2095";"GM0484";"2002JJ00";"     134"
"2096";"GM0484";"2003JJ00";"     135"
"2097";"GM0484";"2004JJ00";"     136"
"2098";"GM0484";"2005JJ00";"     202"
"2099";"GM0484";"2006JJ00";"     203"
"2100";"GM0484";"2007JJ00";"     219"
"2101";"GM0484";"2008JJ00";"     230"
"2102";"GM0484";"2009JJ00";"     240"
"2103";"GM0484";"2010JJ00";"     241"
"2104";"GM0484";"2011JJ00";"     238"
"2105";"GM0484";"2012JJ00";"     234"
"2106";"GM0484";"2013JJ00";"     225"
"2107";"GM0484";"2014JJ00";"     220"
"2108";"GM0484";"2015JJ00";"     217"
"2109";"GM0484";"2016JJ00";"     215"
"2110";"GM0484";"2017JJ00";"     219"
"2111";"GM0484";"2018JJ00";"     231"
"2112";"GM0484";"2019JJ00";"     246"
"2113";"GM0484";"2020JJ00";"     264"
"2114";"GM0484";"2021JJ00";"     282"
"2115";"GM0484";"2022JJ00";"     309"
"2116";"GM0484";"2023JJ00";"     360"
"2117";"GM0741";"1995JJ00";"       ."
"2118";"GM0741";"1996JJ00";"       ."
"2119";"GM0741";"1997JJ00";""
"2120";"GM0741";"1998JJ00";""
"2121";"GM0741";"1999JJ00";""
"2122";"GM0741";"2000JJ00";""
"2123";"GM0741";"2001JJ00";""
"2124";"GM0741";"2002JJ00";""
"2125";"GM0741";"2003JJ00";""
"2126";"GM0741";"2004JJ00";""
"2127";"GM0741";"2005JJ00";""
"2128";"GM0741";"2006JJ00";""
"2129";"GM0741";"2007JJ00";""
"2130";"GM0741";"2008JJ00";""
"2131";"GM0741";"2009JJ00";""
"2132";"GM0741";"2010JJ00";""
"2133";"GM0741";"2011JJ00";""
"2134";"GM0741";"2012JJ00";""
"2135";"GM0741";"2013JJ00";""
"2136";"GM0741";"2014JJ00";""
"2137";"GM0741";"2015JJ00";""
"2138";"GM0741";"2016JJ00";""
"2139";"GM0741";"2017JJ00";""
"2140";"GM0741";"2018JJ00";""
"2141";"GM0741";"2019JJ00";""
"2142";"GM0741";"2020JJ00";""
"2143";"GM0741";"2021JJ00";""
"2144";"GM0741";"2022JJ00";""
"2145";"GM0741";"2023JJ00";""
"2146";"GM1723";"1995JJ00";""
"2147";"GM1723";"1996JJ00";""
"2148";"GM1723";"1997JJ00";"     122"
"2149";"GM1723";"1998JJ00";"     122"
"2150";"GM1723";"1999JJ00";"     122"
"2151";"GM1723";"2000JJ00";"     123"
"2152";"GM1723";"2001JJ00";"     202"
"2153";"GM1723";"2002JJ00";"     202"
"2154";"GM1723";"2003JJ00";"     204"
"2155";"GM1723";"2004JJ00";"     204"
"2156";"GM1723";"2005JJ00";"     312"
"2157";"GM1723";"2006JJ00";"     311"
"2158";"GM1723";"2007JJ00";"     326"
"2159";"GM1723";"2008JJ00";"     338"
"2160";"GM1723";"2009JJ00";"     348"
"2161";"GM1723";"2010JJ00";"     344"
"2162";"GM1723";"2011JJ00";"     330"
"2163";"GM1723";"2012JJ00";"     322"
"2164";"GM1723";"2013JJ00";"     302"
"2165";"GM1723";"2014JJ00";"     290"
"2166";"GM1723";"2015JJ00";"     289"
"2167";"GM1723";"2016JJ00";"     289"
"2168";"GM1723";"2017JJ00";"     297"
"2169";"GM1723";"2018JJ00";"     307"
"2170";"GM1723";"2019JJ00";"     333"
"2171";"GM1723";"2020JJ00";"     351"
"2172";"GM1723";"2021JJ00";"     372"
"2173";"GM1723";"2022JJ00";"     397"
"2174";"GM1723";"2023JJ00";"     438"
"2175";"GM1959";"1995JJ00";""
"2176";"GM1959";"1996JJ00";""
"2177";"GM1959";"1997JJ00";""
"2178";"GM1959";"1998JJ00";""
"2179";"GM1959";"1999JJ00";""
"2180";"GM1959";"2000JJ00";""
"2181";"GM1959";"2001JJ00";""
"2182";"GM1959";"2002JJ00";""
"2183";"GM1959";"2003JJ00";""
"2184";"GM1959";"2004JJ00";""
"2185";"GM1959";"2005JJ00";""
"2186";"GM1959";"2006JJ00";""
"2187";"GM1959";"2007JJ00";""
"2188";"GM1959";"2008JJ00";""
"2189";"GM1959";"2009JJ00";""
"2190";"GM1959";"2010JJ00";""
"2191";"GM1959";"2011JJ00";""
"2192";"GM1959";"2012JJ00";""
"2193";"GM1959";"2013JJ00";""
"2194";"GM1959";"2014JJ00";""
"2195";"GM1959";"2015JJ00";""
"2196";"GM1959";"2016JJ00";""
"2197";"GM1959";"2017JJ00";""
"2198";"GM1959";"2018JJ00";""
"2199";"GM1959";"2019JJ00";"     257"
"2200";"GM1959";"2020JJ00";"     273"
"2201";"GM1959";"2021JJ00";"     291"
"2202";"GM1959";"2022JJ00";"     320"
"2203";"GM1959";"2023JJ00";"     378"
"2204";"GM0142";"1995JJ00";"       ."
"2205";"GM0142";"1996JJ00";"       ."
"2206";"GM0142";"1997JJ00";"      94"
"2207";"GM0142";"1998JJ00";"      92"
"2208";"GM0142";"1999JJ00";"      93"
"2209";"GM0142";"2000JJ00";"      94"
"2210";"GM0142";"2001JJ00";""
"2211";"GM0142";"2002JJ00";""
"2212";"GM0142";"2003JJ00";""
"2213";"GM0142";"2004JJ00";""
"2214";"GM0142";"2005JJ00";""
"2215";"GM0142";"2006JJ00";""
"2216";"GM0142";"2007JJ00";""
"2217";"GM0142";"2008JJ00";""
"2218";"GM0142";"2009JJ00";""
"2219";"GM0142";"2010JJ00";""
"2220";"GM0142";"2011JJ00";""
"2221";"GM0142";"2012JJ00";""
"2222";"GM0142";"2013JJ00";""
"2223";"GM0142";"2014JJ00";""
"2224";"GM0142";"2015JJ00";""
"2225";"GM0142";"2016JJ00";""
"2226";"GM0142";"2017JJ00";""
"2227";"GM0142";"2018JJ00";""
"2228";"GM0142";"2019JJ00";""
"2229";"GM0142";"2020JJ00";""
"2230";"GM0142";"2021JJ00";""
"2231";"GM0142";"2022JJ00";""
"2232";"GM0142";"2023JJ00";""
"2233";"GM1679";"1995JJ00";"       ."
"2234";"GM1679";"1996JJ00";"       ."
"2235";"GM1679";"1997JJ00";"      97"
"2236";"GM1679";"1998JJ00";"      97"
"2237";"GM1679";"1999JJ00";"      98"
"2238";"GM1679";"2000JJ00";"      98"
"2239";"GM1679";"2001JJ00";"     149"
"2240";"GM1679";"2002JJ00";"     149"
"2241";"GM1679";"2003JJ00";"     150"
"2242";"GM1679";"2004JJ00";"     150"
"2243";"GM1679";"2005JJ00";"     202"
"2244";"GM1679";"2006JJ00";"     202"
"2245";"GM1679";"2007JJ00";""
"2246";"GM1679";"2008JJ00";""
"2247";"GM1679";"2009JJ00";""
"2248";"GM1679";"2010JJ00";""
"2249";"GM1679";"2011JJ00";""
"2250";"GM1679";"2012JJ00";""
"2251";"GM1679";"2013JJ00";""
"2252";"GM1679";"2014JJ00";""
"2253";"GM1679";"2015JJ00";""
"2254";"GM1679";"2016JJ00";""
"2255";"GM1679";"2017JJ00";""
"2256";"GM1679";"2018JJ00";""
"2257";"GM1679";"2019JJ00";""
"2258";"GM1679";"2020JJ00";""
"2259";"GM1679";"2021JJ00";""
"2260";"GM1679";"2022JJ00";""
"2261";"GM1679";"2023JJ00";""
"2262";"GM0060";"1995JJ00";"       ."
"2263";"GM0060";"1996JJ00";"       ."
"2264";"GM0060";"1997JJ00";"      78"
"2265";"GM0060";"1998JJ00";"      77"
"2266";"GM0060";"1999JJ00";"      78"
"2267";"GM0060";"2000JJ00";"      79"
"2268";"GM0060";"2001JJ00";"     123"
"2269";"GM0060";"2002JJ00";"     121"
"2270";"GM0060";"2003JJ00";"     122"
"2271";"GM0060";"2004JJ00";"     122"
"2272";"GM0060";"2005JJ00";"     187"
"2273";"GM0060";"2006JJ00";"     186"
"2274";"GM0060";"2007JJ00";"     201"
"2275";"GM0060";"2008JJ00";"     213"
"2276";"GM0060";"2009JJ00";"     220"
"2277";"GM0060";"2010JJ00";"     220"
"2278";"GM0060";"2011JJ00";"     223"
"2279";"GM0060";"2012JJ00";"     221"
"2280";"GM0060";"2013JJ00";"     210"
