ID;RegioS;Perioden;GemiddeldeWOZWaardeVanWoningen_98;Gemeentenaam;Provincienaam;Year
1874;GM0059;2013-01-01;     180;Achtkarspelen;Friesland;2013
1875;GM0059;2014-01-01;     165;Achtkarspelen;Friesland;2014
1876;GM0059;2015-01-01;     160;Achtkarspelen;Friesland;2015
1877;GM0059;2016-01-01;     159;Achtkarspelen;Friesland;2016
1878;GM0059;2017-01-01;     164;Achtkarspelen;Friesland;2017
1879;GM0059;2018-01-01;     171;Achtkarspelen;Friesland;2018
1880;GM0059;2019-01-01;     182;Achtkarspelen;Friesland;2019
1881;GM0059;2020-01-01;     192;Achtkarspelen;Friesland;2020
1882;GM0059;2021-01-01;     206;Achtkarspelen;Friesland;2021
1883;GM0059;2022-01-01;     226;Achtkarspelen;Friesland;2022
1884;GM0059;2023-01-01;     256;Achtkarspelen;Friesland;2023
1914;GM0482;1995-01-01;       .;Alblasserdam;Zuid-Holland;1995
1915;GM0482;1996-01-01;       .;Alblasserdam;Zuid-Holland;1996
1916;GM0482;1997-01-01;      70;Alblasserdam;Zuid-Holland;1997
1917;GM0482;1998-01-01;      71;Alblasserdam;Zuid-Holland;1998
1918;GM0482;1999-01-01;      72;Alblasserdam;Zuid-Holland;1999
1919;GM0482;2000-01-01;      72;Alblasserdam;Zuid-Holland;2000
1920;GM0482;2001-01-01;     117;Alblasserdam;Zuid-Holland;2001
1921;GM0482;2002-01-01;     118;Alblasserdam;Zuid-Holland;2002
1922;GM0482;2003-01-01;     119;Alblasserdam;Zuid-Holland;2003
1923;GM0482;2004-01-01;     120;Alblasserdam;Zuid-Holland;2004
1924;GM0482;2005-01-01;     179;Alblasserdam;Zuid-Holland;2005
1925;GM0482;2006-01-01;     184;Alblasserdam;Zuid-Holland;2006
1926;GM0482;2007-01-01;     201;Alblasserdam;Zuid-Holland;2007
1927;GM0482;2008-01-01;     217;Alblasserdam;Zuid-Holland;2008
1928;GM0482;2009-01-01;     225;Alblasserdam;Zuid-Holland;2009
1929;GM0482;2010-01-01;     222;Alblasserdam;Zuid-Holland;2010
1930;GM0482;2011-01-01;     219;Alblasserdam;Zuid-Holland;2011
1931;GM0482;2012-01-01;     215;Alblasserdam;Zuid-Holland;2012
1932;GM0482;2013-01-01;     205;Alblasserdam;Zuid-Holland;2013
1933;GM0482;2014-01-01;     194;Alblasserdam;Zuid-Holland;2014
1934;GM0482;2015-01-01;     190;Alblasserdam;Zuid-Holland;2015
1935;GM0482;2016-01-01;     194;Alblasserdam;Zuid-Holland;2016
1936;GM0482;2017-01-01;     198;Alblasserdam;Zuid-Holland;2017
1937;GM0482;2018-01-01;     204;Alblasserdam;Zuid-Holland;2018
1938;GM0482;2019-01-01;     217;Alblasserdam;Zuid-Holland;2019
1939;GM0482;2020-01-01;     234;Alblasserdam;Zuid-Holland;2020
1940;GM0482;2021-01-01;     252;Alblasserdam;Zuid-Holland;2021
1941;GM0482;2022-01-01;     274;Alblasserdam;Zuid-Holland;2022
